title,paper_file,video_file,subtitle_file,video_url,data_imported
Managerial Visions: Stories of Upgrading and Maintaining the Public Restroom with IoT,,./video/134.mp4,./__subtitles/134.srt,https://www.youtube.com/watch?v=63RiUC3mhpE,N
Engaging Gentrification as a Social Justice Issue in HCI,,./video/135.mp4,./__subtitles/135.srt,https://www.youtube.com/watch?v=LzqGN1Q9V-E,N
RotoSwype: Word-Gesture Typing using a Ring,,./video/136.mp4,./__subtitles/136.srt,https://www.youtube.com/watch?v=qyHb4uPV8xw,N
Thinking Too Classically: Toward a Research Agenda for Human-Quantum Computer Interaction,,./video/137.mp4,./__subtitles/137.srt,https://www.youtube.com/watch?v=d931sBoW1xI,N
360proto: Making Interactive Virtual Reality & Augmented Reality Prototypes from Paper,,./video/138.mp4,./__subtitles/138.srt,https://www.youtube.com/watch?v=CY9xwOA5cmQ,N
"The Promise of Empathy: Design, Disability, and Knowing the 'Other'",,./video/139.mp4,./__subtitles/139.srt,https://www.youtube.com/watch?v=2dG_919Nyeo,N
"A Badge, Not a Barrier: Designing for–and Throughout–Digital Badge Implementation",,./video/140.mp4,./__subtitles/140.srt,https://www.youtube.com/watch?v=HxMSkH5ZpZI,N
Emotion Work in Experience-Centered Design,,./video/141.mp4,./__subtitles/141.srt,https://www.youtube.com/watch?v=dfZy625qb1M,N
Older People Inventing their Personal Internet of Things with the IoT Un-Kit Experience,,./video/142.mp4,./__subtitles/142.srt,https://www.youtube.com/watch?v=U3nOwgiEb3w,N
Gamification in Science: A Study of Requirements in the Context of Reproducible Research,,./video/143.mp4,./__subtitles/143.srt,https://www.youtube.com/watch?v=IlC0LxNNFAw,N
ForceRay: Extending Thumb Reach via Force Input Stabilizes Device Grip for Mobile Touch Input,,./video/144.mp4,./__subtitles/144.srt,https://www.youtube.com/watch?v=j0-WKQkVLW8,N
Engaging Lived and Virtual Realities,,./video/145.mp4,./__subtitles/145.srt,https://www.youtube.com/watch?v=VvWWRQ5kQR8,N
end_of_file,,,,,
